old_id,tx_id,publish_code,title,category,published,note
20260327-2124,TX-20260327-001,20260327212444,希望人間有光,短偈金句,True,
20260328-1013,TX-20260328-001,20260328101306,人常以為，退，是失去,短偈金句,True,
20260401-0905,TX-20260401-001,20260401090513,很多人以為自己在追求結果——,財富平衡,True,
20260404-1009,TX-20260404-001,20260404100902,人之所以停在原地，不是因為沒有能力前進，而是因為…,短偈金句,True,
20260404-1017,TX-20260404-002,20260404101726,過不完的過去，到不了的未來，不存在的現在,眾生與守地,True,
20260404-1244,TX-20260404-003,20260404124430,素語三百,素語三百,True,
20260404-1248,TX-20260404-004,20260404124801,破，不是讓你倒下，而是讓你不用再靠外物站立,短偈金句,True,
20260404-1257,TX-20260404-005,20260404125743,只會做事的人，解決的是眼前,行動系統,True,
20260404-1259,TX-20260404-006,20260404125901,在AI時代,短偈金句,True,
20260404-1259-2,TX-20260404-007,20260404125910,大事，不是做出來的，是看見之後，被帶動出來的,短偈金句,True,
20260404-1259-3,TX-20260404-008,20260404125955,打破「努力＝成功」的錯覺,短偈金句,True,
20260404-1301,TX-20260404-009,20260404130115,大事非成於能，乃成於見,短偈金句,True,
20260404-1539,TX-20260404-010,20260404153958,素行之道，不在多法，唯此十句，已足行世,財富平衡,True,
20260408-1640,TX-20260408-001,20260408164049,天地同源，萬生一息,眾生與守地,True,
20260408-1830,TX-20260408-002,20260408183041,2026年，不再是延續過去的年份，而是人類被迫重…,破與強・新時代,True,
20260408-1838,TX-20260408-003,20260408183816,2026 破與強・財富時代宣言,破與強・新時代,True,
20260412-1055,TX-20260412-001,20260412105551,知而不行，知如虛影,素行心法,True,
20260412-1121,TX-20260412-002,20260412112158,行動與結果系統,行動系統,True,
20260414-1043,TX-20260414-001,20260414104319,角度、真話與權力,權力與真實,True,
20260414-1045,TX-20260414-002,20260414104553,角度之界，真言之門,權力與真實,True,
20260414-1049,TX-20260414-003,20260414104921,低階的人改變答案，高階的人改變問題,短偈金句,True,
20260414-1054,TX-20260414-004,20260414105412,人性操控,行動系統,True,
20260414-1117,TX-20260414-005,20260414111759,「向前看」之所以簡單，是因為嘴巴只需一瞬,短偈金句,True,
20260415-0857,TX-20260415-001,20260415085759,眾生多困，不在無知，而在不受,眾生與守地,True,
20260417-0951,TX-20260417-001,20260417095115,經可誦，機可代,短偈金句,True,
20260418-1103,TX-20260418-001,20260418110343,生活從來不設限，設限的是人,素行心法,True,
20260421-1222,TX-20260421-001,20260421122210,世人見難，多以為阻,短偈金句,True,
20260421-1546,TX-20260421-002,20260421154644,人之苦，不在得不到，在於未成其量，先求其果,素行心法,True,
20260428-1029,TX-20260428-001,20260428102913,人性操控,行動系統,False,本篇與 4/14 10:54〈人性操控〉內容相同，視為重發；以 4/14 為主篇。
20260429-1304,TX-20260429-001,20260429130434,人之所以被困，非困於人，乃困於心,眾生與守地,True,
20260429-1326,TX-20260429-002,20260429132647,世有政，本為調和萬象之器，非為爭奪私利之門,權力與真實,True,
20260429-1336,TX-20260429-003,20260429133604,今之世人，多以政為權，不以政為責,權力與真實,True,
20260429-1922,TX-20260429-004,20260429192228,當一個人穩了，財富自然會來找你,財富平衡,True,
20260429-1926,TX-20260429-005,20260429192633,真正有錢的人，不是最努力，而是最穩定,短偈金句,True,
20260429-1928,TX-20260429-006,20260429192813,財富平衡密碼不是教你賺錢，是讓你變成「能承載財富…,財富平衡,True,
20260429-1931,TX-20260429-007,20260429193112,不是賺更多讓你變富有，是「需要更少」讓你自由,短偈金句,True,
20260429-1931-2,TX-20260429-008,20260429193155,素行：真正的財富平衡密碼～放大生命能量，降低生活…,財富平衡,True,
20260429-1933,TX-20260429-009,20260429193358,當你的能量高於你的需求，你就自由了,財富平衡,True,
20260429-1935,TX-20260429-010,20260429193503,財富不在外得，在內減,財富平衡,True,
20260429-1936,TX-20260429-011,20260429193655,素行生命能量之約,財富平衡,False,
20260429-1945,TX-20260429-012,20260429194503,放大生命能量，降低生活需求，這不是選擇，是未來唯…,財富平衡,True,
20260429-1946,TX-20260429-013,20260429194609,素行生命能量之約在AI時代，讓人不崩潰的生存結構,短偈金句,True,
20260502-1134,TX-20260502-001,20260502113439,忍辱，非為承辱，乃為止動,短偈金句,True,
20260502-1549,TX-20260502-002,20260502154950,太素非求得，乃本有,短偈金句,True,
20260502-1600,TX-20260502-003,20260502160024,天印非力，乃無力之極,本元覺醒,True,
20260502-1858,TX-20260502-004,20260502185803,能力，決定你能做到什麼,短偈金句,True,
20260502-1858-2,TX-20260502-005,20260502185821,接受，不是放棄，而是不與當下對抗,短偈金句,True,
20260502-1904,TX-20260502-006,20260502190424,能力能動外境，卻不能安內心,短偈金句,True,
20260503-1246,TX-20260503-001,20260503124654,學得會的，是知識,短偈金句,True,
20260503-1247,TX-20260503-002,20260503124714,學得會的，都叫知識,短偈金句,True,
20260503-1248,TX-20260503-003,20260503124818,知識可學，技藝可練，唯道不可得,短偈金句,True,
20260504-1254,TX-20260504-001,20260504125440,行，即是得；路，即是經,短偈金句,True,
20260504-1258,TX-20260504-002,20260504125849,經可背，法可說，唯有走過，才算得,本元覺醒,True,
